Location,Vehicle_Count,NO2_Emissions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment,Hour,Day_of_Week,Weather_Conditions_Cloudy,Weather_Conditions_Hazy,Weather_Conditions_Rainy,High_Congestion
Madina Town,62,20.34,59.666666666666664,0,No change needed,0,5,False,False,True,0
Madina Town,160,61.83,43.33333333333333,0,No change needed,15,6,False,False,False,0
Clock Tower,347,29.94,12.166666666666664,0,Use Circular Road alternative,15,3,False,True,False,1
People's Colony,377,74.01,7.166666666666664,0,"Avoid peak hours, use Jaranwala Road",15,5,True,False,False,1
D Ground,291,59.54,21.5,0,Take small connecting roads,23,3,False,False,True,1
Canal Road,126,73.29,49.0,0,No change needed,2,6,False,True,False,0
Ghulam Muhammad Abad,328,79.22,15.333333333333336,0,Take side streets via Millat Road,23,3,False,False,False,1
Madina Town,365,57.9,9.166666666666664,0,Use Jaranwala Bypass,16,4,True,False,False,1
Susan Road,237,30.02,30.5,0,No change needed,2,3,False,False,False,1
Madina Town,270,65.27,25.0,0,Use Jaranwala Bypass,20,1,False,True,False,1
Ghulam Muhammad Abad,387,13.96,5.5,0,Take side streets via Millat Road,4,1,True,False,False,1
Susan Road,253,49.48,27.833333333333336,1,Use Madina Town Bypass,17,5,False,False,False,1
Clock Tower,327,17.45,15.5,0,Use Circular Road alternative,23,0,True,False,False,1
Madina Town,183,43.33,39.5,0,No change needed,2,3,False,False,True,0
Madina Town,220,32.97,33.333333333333336,0,No change needed,0,3,False,True,False,1
D Ground,240,67.64,30.0,0,No change needed,20,5,False,True,False,1
Susan Road,109,25.11,51.83333333333333,0,No change needed,4,1,False,False,False,0
Ghulam Muhammad Abad,71,56.71,58.166666666666664,0,No change needed,23,2,False,True,False,0
Ghulam Muhammad Abad,109,23.19,51.83333333333333,0,No change needed,21,2,False,True,False,0
Susan Road,157,73.52,43.83333333333333,1,No change needed,18,1,False,True,False,0
Susan Road,138,21.86,47.0,0,No change needed,16,3,False,False,False,0
Ghulam Muhammad Abad,267,45.34,25.5,0,Take side streets via Millat Road,3,0,True,False,False,1
Madina Town,43,27.96,62.833333333333336,0,No change needed,13,5,False,False,True,0
Susan Road,365,71.13,9.166666666666664,0,Use Madina Town Bypass,4,1,False,False,False,1
Kohinoor City,95,34.08,54.166666666666664,0,No change needed,4,0,False,True,False,0
Clock Tower,96,59.87,54.0,0,No change needed,15,6,False,False,True,0
Clock Tower,67,35.85,58.833333333333336,0,No change needed,0,4,True,False,False,0
D Ground,349,72.89,11.833333333333336,1,Take small connecting roads,19,0,True,False,False,1
Canal Road,369,78.05,8.5,0,Use Expressway,22,4,False,True,False,1
Canal Road,375,24.17,7.5,0,Use Expressway,1,5,False,True,False,1
Susan Road,165,51.26,42.5,1,No change needed,19,2,True,False,False,0
Madina Town,208,36.23,35.333333333333336,0,No change needed,16,5,False,False,False,0
Canal Road,380,75.36,6.666666666666664,0,Use Expressway,0,4,True,False,False,1
Kohinoor City,369,32.42,8.5,0,Divert via Satyana Road,1,0,True,False,False,1
People's Colony,145,56.77,45.83333333333333,0,No change needed,16,6,False,False,False,0
Clock Tower,77,45.06,57.166666666666664,0,No change needed,0,1,False,False,True,0
Kohinoor City,323,75.73,16.166666666666664,0,Divert via Satyana Road,0,0,False,False,True,1
Susan Road,125,67.77,49.16666666666667,0,No change needed,12,4,False,False,False,0
Susan Road,224,48.03,32.666666666666664,0,No change needed,21,4,False,False,False,1
Susan Road,40,67.26,63.333333333333336,0,No change needed,0,6,False,False,False,0
People's Colony,286,30.89,22.333333333333336,0,"Avoid peak hours, use Jaranwala Road",2,0,True,False,False,1
D Ground,236,10.06,30.666666666666664,1,No change needed,17,4,True,False,False,1
Canal Road,333,75.22,14.5,0,Use Expressway,2,4,False,False,False,1
Madina Town,394,32.54,5.0,0,Use Jaranwala Bypass,15,5,False,True,False,1
Madina Town,382,26.81,6.333333333333336,0,Use Jaranwala Bypass,1,2,False,False,False,1
People's Colony,310,16.0,18.333333333333336,0,"Avoid peak hours, use Jaranwala Road",20,6,True,False,False,1
Canal Road,65,52.38,59.166666666666664,1,No change needed,17,3,True,False,False,0
Madina Town,354,23.38,11.0,0,Use Jaranwala Bypass,14,1,False,False,True,1
Ghulam Muhammad Abad,169,68.28,41.83333333333333,0,No change needed,0,3,False,True,False,0
People's Colony,66,70.75,59.0,1,No change needed,19,3,False,True,False,0
Canal Road,236,19.44,30.666666666666664,1,No change needed,17,4,True,False,False,1
People's Colony,117,28.55,50.5,1,No change needed,17,5,False,False,False,0
Madina Town,360,37.41,10.0,0,Use Jaranwala Bypass,20,6,True,False,False,1
Ghulam Muhammad Abad,130,55.24,48.33333333333333,0,No change needed,3,6,False,True,False,0
Ghulam Muhammad Abad,398,75.11,5.0,0,Take side streets via Millat Road,20,5,False,False,True,1
Madina Town,93,52.9,54.5,0,No change needed,13,3,False,False,True,0
Kohinoor City,190,50.29,38.33333333333333,0,No change needed,23,2,False,False,True,0
Susan Road,227,54.36,32.166666666666664,1,No change needed,17,2,True,False,False,1
Susan Road,198,28.65,37.0,1,No change needed,19,2,False,False,True,0
Susan Road,236,29.26,30.666666666666664,0,No change needed,23,1,False,True,False,1
Kohinoor City,76,36.65,57.333333333333336,0,No change needed,2,6,True,False,False,0
Ghulam Muhammad Abad,118,79.3,50.33333333333333,1,No change needed,18,6,True,False,False,0
Ghulam Muhammad Abad,224,12.54,32.666666666666664,0,No change needed,1,2,False,False,False,1
Madina Town,208,34.94,35.333333333333336,0,No change needed,14,4,False,False,True,0
Madina Town,89,37.16,55.166666666666664,0,No change needed,3,6,False,False,True,0
Madina Town,201,29.36,36.5,0,No change needed,2,6,True,False,False,0
Madina Town,122,71.44,49.66666666666667,0,No change needed,3,5,False,False,False,0
Madina Town,328,76.17,15.333333333333336,0,Use Jaranwala Bypass,23,2,False,True,False,1
D Ground,246,52.2,29.0,0,No change needed,2,6,False,False,True,1
Susan Road,108,50.04,52.0,0,No change needed,4,1,False,False,False,0
People's Colony,274,79.91,24.333333333333336,0,"Avoid peak hours, use Jaranwala Road",16,6,False,False,True,1
Kohinoor City,71,52.45,58.166666666666664,0,No change needed,2,4,False,False,False,0
D Ground,247,43.57,28.833333333333336,0,No change needed,21,0,False,False,True,1
People's Colony,316,51.57,17.333333333333336,0,"Avoid peak hours, use Jaranwala Road",12,3,False,False,False,1
Canal Road,134,12.71,47.66666666666667,1,No change needed,19,3,False,True,False,0
Canal Road,35,62.05,64.16666666666667,0,No change needed,1,3,False,False,False,0
Canal Road,200,12.01,36.666666666666664,0,No change needed,2,3,False,False,False,0
Kohinoor City,254,62.44,27.666666666666664,0,Divert via Satyana Road,3,6,False,False,False,1
People's Colony,360,40.17,10.0,0,"Avoid peak hours, use Jaranwala Road",15,5,False,False,False,1
Clock Tower,152,13.79,44.66666666666667,0,No change needed,21,3,False,False,False,0
Kohinoor City,297,49.84,20.5,0,Divert via Satyana Road,12,1,False,False,True,1
Madina Town,250,35.98,28.333333333333336,1,No change needed,17,6,False,False,True,1
Clock Tower,171,18.93,41.5,0,No change needed,1,1,True,False,False,0
Clock Tower,302,47.69,19.666666666666664,0,Use Circular Road alternative,0,3,False,False,True,1
People's Colony,103,31.41,52.83333333333333,0,No change needed,22,1,False,True,False,0
Clock Tower,332,20.51,14.666666666666664,1,Use Circular Road alternative,19,1,False,False,True,1
Kohinoor City,178,46.97,40.33333333333333,0,No change needed,1,5,True,False,False,0
Ghulam Muhammad Abad,379,36.94,6.833333333333336,1,Take side streets via Millat Road,19,2,False,False,False,1
D Ground,179,40.24,40.16666666666667,0,No change needed,16,6,False,False,True,0
Ghulam Muhammad Abad,121,13.71,49.83333333333333,0,No change needed,4,1,False,True,False,0
D Ground,26,51.7,65.66666666666667,0,No change needed,22,1,False,True,False,0
Susan Road,387,55.44,5.5,0,Use Madina Town Bypass,23,2,False,False,True,1
Canal Road,75,47.41,57.5,0,No change needed,16,1,False,False,False,0
Canal Road,54,58.58,61.0,0,No change needed,15,2,True,False,False,0
Susan Road,188,52.12,38.66666666666667,0,No change needed,13,1,False,False,True,0
Canal Road,90,65.59,55.0,0,No change needed,12,6,False,False,False,0
Susan Road,333,14.22,14.5,0,Use Madina Town Bypass,4,2,False,False,False,1
D Ground,127,64.79,48.83333333333333,0,No change needed,3,1,True,False,False,0
Canal Road,193,55.88,37.833333333333336,0,No change needed,0,2,True,False,False,0
Susan Road,203,10.11,36.166666666666664,1,No change needed,18,0,False,True,False,0
D Ground,265,66.56,25.833333333333336,1,Take small connecting roads,17,6,False,True,False,1
People's Colony,117,49.38,50.5,0,No change needed,13,0,False,False,True,0
Ghulam Muhammad Abad,54,58.94,61.0,0,No change needed,22,1,False,False,False,0
People's Colony,118,66.66,50.33333333333333,0,No change needed,3,4,False,False,False,0
D Ground,360,61.65,10.0,0,Take small connecting roads,22,0,True,False,False,1
Canal Road,186,24.45,39.0,0,No change needed,15,0,False,True,False,0
People's Colony,290,72.47,21.666666666666664,0,"Avoid peak hours, use Jaranwala Road",1,1,False,False,False,1
D Ground,206,37.45,35.666666666666664,0,No change needed,3,1,False,False,True,0
Madina Town,332,61.9,14.666666666666664,0,Use Jaranwala Bypass,12,3,True,False,False,1
Kohinoor City,46,37.08,62.333333333333336,0,No change needed,2,3,False,False,False,0
D Ground,34,10.68,64.33333333333333,0,No change needed,14,6,False,False,True,0
D Ground,174,27.44,41.0,0,No change needed,16,6,False,False,True,0
Clock Tower,174,57.75,41.0,0,No change needed,21,0,False,False,False,0
Ghulam Muhammad Abad,130,39.75,48.33333333333333,0,No change needed,12,4,False,True,False,0
Canal Road,294,52.14,21.0,0,Use Expressway,14,5,True,False,False,1
Madina Town,175,25.23,40.83333333333333,1,No change needed,18,0,False,False,False,0
Ghulam Muhammad Abad,164,37.98,42.66666666666667,0,No change needed,22,1,False,True,False,0
Kohinoor City,258,52.12,27.0,1,Divert via Satyana Road,18,4,False,True,False,1
Kohinoor City,261,66.73,26.5,0,Divert via Satyana Road,4,4,False,True,False,1
Canal Road,192,14.81,38.0,0,No change needed,4,0,False,True,False,0
People's Colony,128,62.89,48.66666666666667,0,No change needed,0,1,True,False,False,0
Clock Tower,299,60.8,20.166666666666664,0,Use Circular Road alternative,3,6,False,False,True,1
Madina Town,22,21.09,66.33333333333333,0,No change needed,23,5,False,False,False,0
Susan Road,327,74.19,15.5,1,Use Madina Town Bypass,17,2,False,True,False,1
People's Colony,330,25.84,15.0,0,"Avoid peak hours, use Jaranwala Road",23,0,True,False,False,1
D Ground,42,75.28,63.0,0,No change needed,14,2,False,True,False,0
D Ground,258,57.38,27.0,1,Take small connecting roads,17,2,True,False,False,1
Kohinoor City,321,30.05,16.5,0,Divert via Satyana Road,3,0,True,False,False,1
People's Colony,135,43.56,47.5,0,No change needed,21,3,False,True,False,0
People's Colony,345,13.42,12.5,0,"Avoid peak hours, use Jaranwala Road",15,6,True,False,False,1
Canal Road,192,43.65,38.0,0,No change needed,22,0,True,False,False,0
Ghulam Muhammad Abad,34,71.3,64.33333333333333,0,No change needed,21,6,False,True,False,0
Clock Tower,28,16.43,65.33333333333333,0,No change needed,14,4,False,False,True,0
D Ground,208,43.16,35.333333333333336,0,No change needed,1,4,False,False,False,0
Susan Road,70,75.55,58.333333333333336,0,No change needed,3,2,False,False,True,0
D Ground,197,40.94,37.166666666666664,0,No change needed,2,6,False,True,False,0
Susan Road,380,70.98,6.666666666666664,0,Use Madina Town Bypass,15,3,False,False,True,1
Susan Road,347,50.38,12.166666666666664,0,Use Madina Town Bypass,16,4,True,False,False,1
Clock Tower,110,71.76,51.66666666666667,0,No change needed,22,1,False,False,False,0
People's Colony,279,72.45,23.5,0,"Avoid peak hours, use Jaranwala Road",2,2,True,False,False,1
Susan Road,260,42.68,26.666666666666664,1,Use Madina Town Bypass,18,1,False,False,True,1
D Ground,305,55.58,19.166666666666664,0,Take small connecting roads,1,4,False,False,True,1
Susan Road,195,13.02,37.5,0,No change needed,2,5,False,True,False,0
Madina Town,397,15.88,5.0,0,Use Jaranwala Bypass,14,3,False,False,False,1
Canal Road,292,14.54,21.333333333333336,0,Use Expressway,15,4,False,True,False,1
People's Colony,303,64.64,19.5,1,"Avoid peak hours, use Jaranwala Road",17,1,False,False,True,1
People's Colony,174,11.88,41.0,0,No change needed,1,0,False,True,False,0
Canal Road,228,74.99,32.0,0,No change needed,14,4,True,False,False,1
Susan Road,334,19.44,14.333333333333336,0,Use Madina Town Bypass,20,2,True,False,False,1
Canal Road,78,19.98,57.0,0,No change needed,14,6,True,False,False,0
People's Colony,230,32.21,31.666666666666664,0,No change needed,3,3,False,False,False,1
Clock Tower,277,21.51,23.833333333333336,0,Use Circular Road alternative,14,0,False,False,True,1
Madina Town,102,17.17,53.0,1,No change needed,18,0,False,False,True,0
Canal Road,128,28.03,48.66666666666667,0,No change needed,12,6,False,False,False,0
Madina Town,102,74.33,53.0,0,No change needed,15,0,False,False,True,0
Kohinoor City,301,36.86,19.833333333333336,0,Divert via Satyana Road,1,2,False,False,True,1
Kohinoor City,141,42.15,46.5,0,No change needed,2,4,False,False,True,0
Clock Tower,129,31.03,48.5,0,No change needed,23,6,False,False,True,0
D Ground,162,49.53,43.0,0,No change needed,21,1,False,True,False,0
Madina Town,28,30.63,65.33333333333333,1,No change needed,17,5,False,True,False,0
People's Colony,61,68.01,59.833333333333336,0,No change needed,16,3,False,False,True,0
People's Colony,234,64.54,31.0,0,No change needed,16,1,False,True,False,1
D Ground,234,27.19,31.0,0,No change needed,21,3,False,True,False,1
Canal Road,203,11.94,36.166666666666664,1,No change needed,17,4,False,False,True,0
Susan Road,324,22.63,16.0,0,Use Madina Town Bypass,13,5,True,False,False,1
Kohinoor City,274,41.76,24.333333333333336,0,Divert via Satyana Road,20,1,True,False,False,1
Clock Tower,70,51.69,58.333333333333336,0,No change needed,15,0,False,False,False,0
Madina Town,134,59.47,47.66666666666667,0,No change needed,21,1,False,False,False,0
Ghulam Muhammad Abad,195,73.3,37.5,0,No change needed,20,2,False,True,False,0
Canal Road,240,50.52,30.0,1,No change needed,19,6,True,False,False,1
Kohinoor City,176,41.01,40.66666666666667,0,No change needed,22,5,False,True,False,0
People's Colony,193,74.82,37.833333333333336,0,No change needed,22,4,False,True,False,0
Ghulam Muhammad Abad,198,46.46,37.0,0,No change needed,3,3,True,False,False,0
Ghulam Muhammad Abad,91,31.01,54.833333333333336,0,No change needed,22,3,False,False,True,0
Canal Road,367,55.13,8.833333333333336,1,Use Expressway,18,2,True,False,False,1
Susan Road,262,12.35,26.333333333333336,0,Use Madina Town Bypass,14,4,False,False,True,1
D Ground,351,29.57,11.5,0,Take small connecting roads,4,3,False,False,True,1
Susan Road,95,59.18,54.166666666666664,0,No change needed,3,6,False,True,False,0
Clock Tower,378,45.75,7.0,0,Use Circular Road alternative,13,0,False,False,True,1
Clock Tower,223,42.22,32.833333333333336,0,No change needed,3,4,False,True,False,1
Canal Road,121,40.83,49.83333333333333,0,No change needed,4,2,True,False,False,0
Madina Town,280,45.29,23.333333333333336,0,Use Jaranwala Bypass,20,0,False,False,True,1
D Ground,121,76.09,49.83333333333333,0,No change needed,4,3,True,False,False,0
Susan Road,257,58.84,27.166666666666664,0,Use Madina Town Bypass,2,3,False,True,False,1
People's Colony,263,60.22,26.166666666666664,0,"Avoid peak hours, use Jaranwala Road",21,4,True,False,False,1
People's Colony,395,37.76,5.0,0,"Avoid peak hours, use Jaranwala Road",4,0,False,True,False,1
D Ground,176,21.67,40.66666666666667,1,No change needed,19,1,False,True,False,0
Clock Tower,369,68.97,8.5,0,Use Circular Road alternative,21,0,True,False,False,1
D Ground,126,45.66,49.0,0,No change needed,12,3,False,False,False,0
Susan Road,83,51.34,56.166666666666664,0,No change needed,3,2,False,False,True,0
Susan Road,183,75.59,39.5,0,No change needed,4,4,True,False,False,0
Ghulam Muhammad Abad,165,16.55,42.5,1,No change needed,19,3,False,False,True,0
Susan Road,210,61.31,35.0,0,No change needed,16,1,False,False,False,0
People's Colony,344,13.68,12.666666666666664,0,"Avoid peak hours, use Jaranwala Road",2,6,False,False,False,1
Madina Town,247,43.65,28.833333333333336,0,No change needed,2,1,False,True,False,1
Canal Road,382,79.84,6.333333333333336,0,Use Expressway,21,0,False,False,True,1
D Ground,284,79.05,22.666666666666664,1,Take small connecting roads,18,5,False,True,False,1
Canal Road,134,72.73,47.66666666666667,0,No change needed,2,4,False,True,False,0
Madina Town,346,58.32,12.333333333333336,0,Use Jaranwala Bypass,0,4,False,False,True,1
Clock Tower,219,30.21,33.5,0,No change needed,1,0,True,False,False,1
People's Colony,53,64.51,61.166666666666664,1,No change needed,17,2,False,False,True,0
D Ground,136,34.15,47.33333333333333,0,No change needed,0,4,False,False,True,0
Susan Road,133,17.19,47.83333333333333,0,No change needed,13,0,True,False,False,0
People's Colony,149,69.1,45.16666666666667,0,No change needed,3,4,False,True,False,0
Madina Town,119,24.2,50.16666666666667,0,No change needed,0,1,False,True,False,0
Clock Tower,203,71.45,36.166666666666664,0,No change needed,13,6,False,False,False,0
Kohinoor City,185,36.4,39.16666666666667,1,No change needed,19,1,False,False,False,0
Madina Town,26,74.53,65.66666666666667,0,No change needed,16,2,True,False,False,0
Canal Road,23,36.39,66.16666666666667,1,No change needed,18,3,True,False,False,0
D Ground,366,56.1,9.0,0,Take small connecting roads,0,5,True,False,False,1
D Ground,172,78.87,41.33333333333333,0,No change needed,23,6,True,False,False,0
Susan Road,293,12.73,21.166666666666664,0,Use Madina Town Bypass,22,3,False,False,True,1
D Ground,320,60.83,16.666666666666664,0,Take small connecting roads,3,4,False,False,False,1
Madina Town,128,44.42,48.66666666666667,0,No change needed,23,5,False,False,True,0
Ghulam Muhammad Abad,311,32.08,18.166666666666664,0,Take side streets via Millat Road,15,0,True,False,False,1
Madina Town,105,75.52,52.5,0,No change needed,3,5,True,False,False,0
Clock Tower,146,45.96,45.66666666666667,0,No change needed,3,1,True,False,False,0
Ghulam Muhammad Abad,325,34.3,15.833333333333336,1,Take side streets via Millat Road,18,6,True,False,False,1
People's Colony,271,59.55,24.833333333333336,0,"Avoid peak hours, use Jaranwala Road",12,3,True,False,False,1
Clock Tower,109,38.08,51.83333333333333,0,No change needed,2,4,False,True,False,0
Madina Town,302,61.1,19.666666666666664,0,Use Jaranwala Bypass,13,3,False,False,False,1
Canal Road,27,63.79,65.5,1,No change needed,18,1,True,False,False,0
People's Colony,109,45.12,51.83333333333333,0,No change needed,14,2,False,False,True,0
Kohinoor City,73,68.33,57.833333333333336,1,No change needed,17,2,True,False,False,0
Canal Road,159,17.6,43.5,0,No change needed,2,0,False,True,False,0
D Ground,256,51.77,27.333333333333336,0,Take small connecting roads,2,1,True,False,False,1
People's Colony,84,77.11,56.0,0,No change needed,22,3,True,False,False,0
Susan Road,270,15.63,25.0,0,Use Madina Town Bypass,1,0,False,True,False,1
People's Colony,150,33.69,45.0,0,No change needed,13,1,False,True,False,0
Madina Town,261,52.95,26.5,0,Use Jaranwala Bypass,13,1,False,True,False,1
Ghulam Muhammad Abad,69,78.34,58.5,0,No change needed,13,0,False,False,False,0
Susan Road,168,39.08,42.0,1,No change needed,17,6,False,True,False,0
People's Colony,70,38.42,58.333333333333336,0,No change needed,21,2,False,False,True,0
Madina Town,372,67.19,8.0,0,Use Jaranwala Bypass,4,4,False,False,True,1
Canal Road,225,36.13,32.5,0,No change needed,15,5,False,True,False,1
Susan Road,292,65.06,21.333333333333336,0,Use Madina Town Bypass,20,0,False,False,True,1
People's Colony,164,60.79,42.66666666666667,0,No change needed,2,3,False,True,False,0
Madina Town,310,76.63,18.333333333333336,1,Use Jaranwala Bypass,18,5,True,False,False,1
Canal Road,200,13.82,36.666666666666664,0,No change needed,4,3,False,False,False,0
Kohinoor City,329,16.68,15.166666666666664,0,Divert via Satyana Road,4,1,True,False,False,1
Ghulam Muhammad Abad,87,52.45,55.5,0,No change needed,0,2,False,False,False,0
Clock Tower,253,17.35,27.833333333333336,0,Use Circular Road alternative,21,6,False,True,False,1
D Ground,205,22.05,35.833333333333336,0,No change needed,4,2,True,False,False,0
People's Colony,281,21.8,23.166666666666664,0,"Avoid peak hours, use Jaranwala Road",23,2,False,False,True,1
Ghulam Muhammad Abad,250,14.07,28.333333333333336,0,No change needed,20,6,False,False,False,1
People's Colony,318,45.91,17.0,0,"Avoid peak hours, use Jaranwala Road",23,3,False,False,True,1
D Ground,29,37.37,65.16666666666667,0,No change needed,0,3,False,True,False,0
Susan Road,279,20.14,23.5,1,Use Madina Town Bypass,18,1,True,False,False,1
Kohinoor City,87,69.29,55.5,0,No change needed,12,0,True,False,False,0
Canal Road,99,77.52,53.5,0,No change needed,14,3,False,False,True,0
Madina Town,161,25.91,43.16666666666667,0,No change needed,16,5,True,False,False,0
D Ground,68,33.82,58.666666666666664,0,No change needed,23,4,False,False,True,0
Susan Road,261,63.96,26.5,1,Use Madina Town Bypass,17,4,False,True,False,1
Canal Road,58,50.37,60.333333333333336,1,No change needed,17,2,False,False,True,0
Ghulam Muhammad Abad,272,73.76,24.666666666666664,0,Take side streets via Millat Road,4,6,False,False,False,1
Susan Road,357,14.2,10.5,0,Use Madina Town Bypass,12,4,False,False,True,1
Clock Tower,24,12.19,66.0,0,No change needed,13,0,False,False,True,0
Canal Road,146,35.2,45.66666666666667,0,No change needed,23,3,False,False,True,0
Susan Road,147,61.96,45.5,0,No change needed,16,6,False,False,True,0
D Ground,73,30.78,57.833333333333336,0,No change needed,4,0,True,False,False,0
Kohinoor City,41,41.96,63.166666666666664,0,No change needed,13,6,False,False,True,0
Madina Town,261,51.26,26.5,0,Use Jaranwala Bypass,12,4,True,False,False,1
Susan Road,274,73.36,24.333333333333336,0,Use Madina Town Bypass,2,6,False,True,False,1
Susan Road,122,47.73,49.66666666666667,0,No change needed,13,5,False,False,True,0
People's Colony,240,25.53,30.0,0,No change needed,21,6,False,False,True,1
Madina Town,306,25.37,19.0,0,Use Jaranwala Bypass,3,4,False,True,False,1
Ghulam Muhammad Abad,230,54.45,31.666666666666664,0,No change needed,2,4,False,False,False,1
Canal Road,286,68.36,22.333333333333336,0,Use Expressway,4,1,False,True,False,1
D Ground,45,37.06,62.5,0,No change needed,20,2,False,False,True,0
D Ground,94,51.51,54.333333333333336,0,No change needed,0,0,False,False,True,0
Madina Town,192,49.78,38.0,0,No change needed,3,3,False,False,False,0
Canal Road,86,13.21,55.666666666666664,0,No change needed,16,2,False,False,False,0
Ghulam Muhammad Abad,87,35.08,55.5,0,No change needed,15,2,False,True,False,0
Clock Tower,384,13.16,6.0,0,Use Circular Road alternative,12,1,False,False,True,1
Susan Road,242,33.23,29.666666666666664,0,No change needed,23,5,False,False,False,1
Canal Road,31,15.08,64.83333333333333,1,No change needed,17,1,False,False,False,0
People's Colony,269,24.93,25.166666666666664,0,"Avoid peak hours, use Jaranwala Road",13,3,False,False,True,1
Clock Tower,243,33.33,29.5,0,No change needed,13,1,False,True,False,1
Clock Tower,89,34.55,55.166666666666664,0,No change needed,16,4,False,False,True,0
People's Colony,283,35.25,22.833333333333336,0,"Avoid peak hours, use Jaranwala Road",3,0,False,False,True,1
Ghulam Muhammad Abad,307,45.98,18.833333333333336,0,Take side streets via Millat Road,16,4,False,True,False,1
Ghulam Muhammad Abad,268,36.06,25.333333333333336,1,Take side streets via Millat Road,17,1,False,True,False,1
Clock Tower,248,59.38,28.666666666666664,1,No change needed,17,3,True,False,False,1
Susan Road,144,37.27,46.0,0,No change needed,16,0,True,False,False,0
People's Colony,265,75.61,25.833333333333336,0,"Avoid peak hours, use Jaranwala Road",4,6,False,False,False,1
D Ground,98,12.32,53.66666666666667,0,No change needed,20,4,False,False,False,0
Ghulam Muhammad Abad,184,48.69,39.33333333333333,0,No change needed,22,2,False,True,False,0
Ghulam Muhammad Abad,253,35.47,27.833333333333336,0,Take side streets via Millat Road,16,2,False,True,False,1
Canal Road,53,61.76,61.166666666666664,0,No change needed,23,5,False,True,False,0
People's Colony,368,39.2,8.666666666666664,0,"Avoid peak hours, use Jaranwala Road",13,2,False,True,False,1
Canal Road,196,41.75,37.333333333333336,0,No change needed,22,2,False,False,False,0
Susan Road,157,58.37,43.83333333333333,0,No change needed,0,2,False,True,False,0
Susan Road,372,19.94,8.0,0,Use Madina Town Bypass,2,4,False,False,False,1
Clock Tower,329,16.63,15.166666666666664,0,Use Circular Road alternative,21,2,True,False,False,1
People's Colony,106,26.69,52.33333333333333,1,No change needed,18,3,False,False,False,0
Kohinoor City,281,15.06,23.166666666666664,1,Divert via Satyana Road,18,6,False,True,False,1
D Ground,320,64.49,16.666666666666664,1,Take small connecting roads,17,1,False,False,False,1
People's Colony,131,44.69,48.16666666666667,1,No change needed,19,1,False,False,True,0
Canal Road,185,59.11,39.16666666666667,0,No change needed,0,4,False,True,False,0
Ghulam Muhammad Abad,115,74.56,50.83333333333333,0,No change needed,14,1,False,True,False,0
Susan Road,166,64.3,42.33333333333333,1,No change needed,17,5,False,False,False,0
People's Colony,294,19.22,21.0,0,"Avoid peak hours, use Jaranwala Road",14,2,True,False,False,1
Canal Road,232,23.83,31.333333333333336,0,No change needed,3,6,False,False,True,1
People's Colony,225,74.85,32.5,0,No change needed,12,4,False,False,False,1
Canal Road,42,59.78,63.0,0,No change needed,3,4,False,False,False,0
Canal Road,253,77.12,27.833333333333336,0,Use Expressway,21,1,False,False,False,1
Ghulam Muhammad Abad,221,50.73,33.166666666666664,1,No change needed,17,6,False,True,False,1
Clock Tower,224,37.12,32.666666666666664,0,No change needed,20,5,True,False,False,1
Madina Town,311,45.73,18.166666666666664,0,Use Jaranwala Bypass,21,3,False,True,False,1
Clock Tower,366,51.41,9.0,1,Use Circular Road alternative,17,6,False,False,False,1
People's Colony,320,75.22,16.666666666666664,1,"Avoid peak hours, use Jaranwala Road",17,4,False,False,False,1
Susan Road,353,78.0,11.166666666666664,1,Use Madina Town Bypass,19,2,False,False,True,1
People's Colony,95,14.01,54.166666666666664,0,No change needed,3,0,False,True,False,0
Canal Road,142,56.83,46.33333333333333,0,No change needed,3,6,False,True,False,0
Clock Tower,322,53.0,16.333333333333336,0,Use Circular Road alternative,12,5,False,False,True,1
Ghulam Muhammad Abad,171,56.7,41.5,0,No change needed,1,4,False,False,False,0
D Ground,305,44.68,19.166666666666664,0,Take small connecting roads,13,6,False,False,False,1
Ghulam Muhammad Abad,104,43.21,52.66666666666667,0,No change needed,14,1,False,False,True,0
Madina Town,372,53.2,8.0,0,Use Jaranwala Bypass,16,5,False,False,True,1
Ghulam Muhammad Abad,372,56.48,8.0,1,Take side streets via Millat Road,17,6,False,False,False,1
Clock Tower,210,77.22,35.0,1,No change needed,19,2,True,False,False,0
Canal Road,298,73.8,20.333333333333336,1,Use Expressway,19,0,True,False,False,1
People's Colony,362,52.6,9.666666666666664,0,"Avoid peak hours, use Jaranwala Road",22,3,False,False,True,1
Clock Tower,80,43.74,56.666666666666664,0,No change needed,16,6,False,False,False,0
People's Colony,201,47.39,36.5,0,No change needed,4,5,False,False,True,0
D Ground,256,56.44,27.333333333333336,0,Take small connecting roads,22,2,False,False,False,1
Kohinoor City,327,75.32,15.5,0,Divert via Satyana Road,4,5,False,False,True,1
D Ground,54,46.47,61.0,0,No change needed,0,0,True,False,False,0
Kohinoor City,82,20.84,56.333333333333336,1,No change needed,19,4,True,False,False,0
Clock Tower,52,10.3,61.333333333333336,0,No change needed,15,6,False,False,False,0
Ghulam Muhammad Abad,394,10.52,5.0,1,Take side streets via Millat Road,19,2,True,False,False,1
Canal Road,275,73.74,24.166666666666664,0,Use Expressway,15,5,False,False,True,1
D Ground,69,42.0,58.5,0,No change needed,13,2,False,False,False,0
Madina Town,23,18.61,66.16666666666667,0,No change needed,14,4,True,False,False,0
